"국적명","성별","전문학사","학사유학","석사유학","박사유학","연구유학","교환학생","한국어연수"
"바누아투","남(M)","0","0","0","0","0","1","0"
"바누아투","여(F)","0","0","0","0","0","0","0"
"바레인","남(M)","0","0","0","1","0","0","0"
"바레인","여(F)","0","0","0","0","0","0","0"
"바베이도스","남(M)","0","0","0","0","0","0","0"
"바베이도스","여(F)","0","0","0","0","0","0","1"
"바하마","남(M)","0","1","0","0","0","0","0"
"바하마","여(F)","0","0","0","0","0","0","0"
"방글라데시","남(M)","25","49","176","200","0","0","43"
"방글라데시","여(F)","1","1","34","40","0","0","9"
"버뮤다","남(M)","0","0","0","0","0","0","0"
"버뮤다","여(F)","0","0","0","0","0","0","0"
"베냉","남(M)","0","0","1","0","0","0","1"
"베냉","여(F)","0","0","0","0","0","0","0"
"베네수엘라","남(M)","0","2","0","0","0","0","1"
"베네수엘라","여(F)","0","0","1","0","0","1","0"
"베트남","남(M)","212","375","555","381","1","5","223"
"베트남","여(F)","147","441","389","106","0","21","177"
"벨기에","남(M)","1","0","1","1","0","4","3"
"벨기에","여(F)","0","0","0","0","0","1","4"
"벨로루시","남(M)","0","1","4","0","0","0","1"
"벨로루시","여(F)","0","1","3","0","0","0","2"
"벨리즈","남(M)","0","1","3","0","0","0","0"
"벨리즈","여(F)","0","0","0","1","0","0","0"
"보스니아-헤르체고비나","남(M)","0","0","0","0","0","1","1"
"보스니아-헤르체고비나","여(F)","0","0","0","0","0","0","0"
"보츠와나","남(M)","0","0","0","0","0","0","0"
"보츠와나","여(F)","0","0","0","0","0","0","0"
"볼리비아","남(M)","0","3","1","1","0","0","3"
"볼리비아","여(F)","0","2","0","0","0","0","0"
"부룬디","남(M)","0","1","6","0","0","0","0"
"부룬디","여(F)","0","2","0","0","0","0","0"
"부르키나파소","남(M)","0","0","0","0","0","0","0"
"부르키나파소","여(F)","0","0","0","0","0","0","0"
"부탄","남(M)","0","2","2","0","0","0","0"
"부탄","여(F)","0","4","1","0","0","0","0"
"불가리아","남(M)","0","4","1","1","0","0","4"
"불가리아","여(F)","0","7","6","2","0","1","3"
"불령가이아나","남(M)","0","0","0","0","0","0","0"
"불령가이아나","여(F)","0","0","0","0","0","0","0"
"브라질","남(M)","3","11","16","1","0","4","12"
"브라질","여(F)","1","11","8","1","0","2","8"
"브루나이","남(M)","0","2","0","0","0","0","1"
"브루나이","여(F)","0","2","1","1","0","1","2"
"사모아","남(M)","0","0","1","0","0","0","0"
"사모아","여(F)","0","0","0","0","0","0","0"
"사우디아라비아","남(M)","0","49","3","2","0","0","29"
"사우디아라비아","여(F)","0","2","3","0","0","0","4"
"산마리노","남(M)","0","0","0","0","0","0","0"
"산마리노","여(F)","0","0","0","0","0","0","0"
"상투메프린시페","남(M)","0","0","0","0","0","0","0"
"상투메프린시페","여(F)","0","0","0","0","0","0","0"
"세네갈","남(M)","0","4","7","4","0","0","3"
"세네갈","여(F)","0","0","1","1","0","0","1"
"세르비아","남(M)","0","1","0","1","0","0","1"
"세르비아","여(F)","1","0","1","0","0","0","1"
"세르비아몬테네그로","남(M)","0","0","1","1","0","0","0"
"세르비아몬테네그로","여(F)","0","0","0","1","0","0","0"
"세이셸","남(M)","0","0","0","0","0","0","0"
"세이셸","여(F)","0","0","0","0","0","0","0"
"세인트크리스토퍼네비스","남(M)","0","0","0","0","0","0","0"
"세인트크리스토퍼네비스","여(F)","0","0","0","0","0","0","0"
"소말리아","남(M)","0","0","0","0","0","0","0"
"소말리아","여(F)","0","0","0","0","0","0","0"
"솔로몬군도","남(M)","0","0","0","0","0","0","0"
"솔로몬군도","여(F)","0","0","0","0","0","0","0"
"수단","남(M)","0","3","4","5","0","0","3"
"수단","여(F)","0","1","1","0","0","0","0"
"수리남","남(M)","0","0","0","0","0","0","0"
"수리남","여(F)","0","0","0","0","0","0","0"
"스리랑카","남(M)","1","13","20","9","0","0","16"
"스리랑카","여(F)","2","12","9","2","0","0","14"
"스발바르","남(M)","0","0","0","0","0","0","0"
"스발바르","여(F)","0","0","0","0","0","0","0"
"스와질란드","남(M)","0","0","0","0","0","0","0"
"스와질란드","여(F)","1","0","0","0","0","0","0"
"스웨덴","남(M)","1","10","4","0","1","20","5"
"스웨덴","여(F)","0","2","0","1","0","11","3"
"스위스","남(M)","1","5","3","0","0","6","0"
"스위스","여(F)","0","1","0","0","0","5","2"
"스페인","남(M)","1","9","3","1","0","20","7"
"스페인","여(F)","1","14","3","0","0","4","6"
"슬로바크","남(M)","0","0","2","1","0","1","2"
"슬로바크","여(F)","0","1","1","0","0","1","2"
"슬로베니아","남(M)","0","0","0","0","0","2","0"
"슬로베니아","여(F)","0","0","0","0","0","0","0"
"시리아","남(M)","0","0","2","1","0","0","0"
"시리아","여(F)","0","0","0","0","0","0","0"
"시에라리온","남(M)","0","0","1","1","0","0","0"
"시에라리온","여(F)","0","0","0","0","0","0","0"
"싱가포르","남(M)","9","4","2","1","0","17","3"
"싱가포르","여(F)","5","16","7","0","0","34","25"
"아랍에미리트연합","남(M)","0","13","0","0","0","0","2"
"아랍에미리트연합","여(F)","0","0","0","0","0","0","1"
"아르메니아","남(M)","0","0","1","0","0","0","1"
"아르메니아","여(F)","0","1","3","2","0","0","1"
"아르헨티나","남(M)","0","8","3","1","0","0","2"
"아르헨티나","여(F)","0","10","4","0","0","0","4"
"아이슬란드","남(M)","0","0","0","0","0","1","1"
"아이슬란드","여(F)","0","0","0","0","0","2","0"
"아이티","남(M)","0","2","0","0","0","0","0"
"아이티","여(F)","0","0","0","0","0","0","0"
"아일랜드","남(M)","0","0","2","0","0","0","4"
"아일랜드","여(F)","0","0","0","0","0","2","0"
"아제르바이잔","남(M)","0","34","13","0","0","0","10"
"아제르바이잔","여(F)","3","8","3","2","0","0","2"
"아프가니스탄","남(M)","0","12","9","2","0","0","2"
"아프가니스탄","여(F)","0","4","1","0","0","0","0"
"알바니아","남(M)","0","3","0","0","0","0","0"
"알바니아","여(F)","0","0","0","0","0","0","0"
"알제리","남(M)","0","1","12","4","0","0","2"
"알제리","여(F)","0","0","9","3","0","0","0"
"앙골라","남(M)","0","8","1","0","0","0","6"
"앙골라","여(F)","0","1","0","0","0","0","2"
"앤티가바부다","남(M)","0","0","0","0","0","0","0"
"앤티가바부다","여(F)","0","0","0","0","0","0","0"
"에리트레아","남(M)","0","0","0","0","0","0","0"
"에리트레아","여(F)","0","0","0","0","0","0","0"
"에스토니아","남(M)","0","0","0","0","0","1","0"
"에스토니아","여(F)","0","0","0","0","0","0","1"
"에콰도르","남(M)","0","1","3","0","0","1","1"
"에콰도르","여(F)","0","1","0","0","0","1","1"
"에티오피아","남(M)","3","5","18","10","1","0","3"
"에티오피아","여(F)","0","5","6","1","0","0","3"
"엘살바도르","남(M)","0","5","8","0","0","0","4"
"엘살바도르","여(F)","0","0","6","0","0","0","2"
"영국","남(M)","1","6","12","0","0","14","10"
"영국","여(F)","0","1","4","0","0","7","7"
"영국외지민","남(M)","0","0","0","0","0","0","0"
"영국외지민","여(F)","0","0","0","0","0","0","0"
"영국외지시민","남(M)","0","0","0","0","0","0","0"
"영국외지시민","여(F)","0","0","0","0","0","0","0"
"예멘공화국","남(M)","1","1","5","1","0","0","4"
"예멘공화국","여(F)","0","0","2","0","0","0","0"
"오만","남(M)","0","0","1","0","0","0","0"
"오만","여(F)","0","0","0","0","0","1","0"
"오스트레일리아","남(M)","4","12","5","0","0","14","13"
"오스트레일리아","여(F)","1","4","4","0","0","5","5"
"오스트리아","남(M)","5","2","1","0","0","5","2"
"오스트리아","여(F)","1","1","1","0","0","8","5"
"온두라스","남(M)","0","0","1","0","0","0","0"
"온두라스","여(F)","0","0","1","0","0","0","2"
"요르단","남(M)","0","2","6","4","0","1","3"
"요르단","여(F)","0","0","4","1","0","1","1"
"우간다","남(M)","0","7","7","0","0","0","4"
"우간다","여(F)","0","2","1","0","0","0","3"
"우루과이","남(M)","0","0","0","0","0","0","0"
"우루과이","여(F)","0","0","0","0","0","0","0"
"우즈베키스탄","남(M)","35","117","129","39","2","7","271"
"우즈베키스탄","여(F)","2","43","48","10","0","1","34"
"우크라이나","남(M)","0","9","7","2","0","1","8"
"우크라이나","여(F)","1","7","16","1","0","7","7"
"유고슬라비아","남(M)","0","0","0","0","0","0","0"
"유고슬라비아","여(F)","0","0","0","0","0","0","0"
"이라크","남(M)","1","1","6","3","1","0","0"
"이라크","여(F)","0","0","3","0","0","0","1"
"이란","남(M)","0","13","15","37","8","0","9"
"이란","여(F)","0","4","9","7","2","0","2"
"이스라엘","남(M)","0","0","0","1","0","1","3"
"이스라엘","여(F)","0","0","3","0","0","1","1"
"이집트","남(M)","0","1","11","26","1","0","1"
"이집트","여(F)","2","4","9","2","0","1","2"
"이탈리아","남(M)","2","4","1","3","0","11","6"
"이탈리아","여(F)","0","1","1","0","0","6","8"
"인도","남(M)","24","24","100","364","3","1","37"
"인도","여(F)","6","8","41","77","0","1","9"
"인도네시아","남(M)","0","42","121","82","3","9","20"
"인도네시아","여(F)","1","80","82","23","0","12","51"
"일본","남(M)","15","213","83","36","4","16","82"
"일본","여(F)","30","576","125","23","0","68","474"
"자메이카","남(M)","0","0","2","0","0","0","0"
"자메이카","여(F)","0","0","1","0","0","0","1"
"자이르","남(M)","0","0","0","0","0","0","0"
"자이르","여(F)","0","0","0","0","0","0","0"
"잠비아","남(M)","0","1","1","0","0","1","3"
"잠비아","여(F)","2","0","1","0","0","0","2"
"적도기니","남(M)","0","0","0","0","0","0","0"
"적도기니","여(F)","0","0","0","0","0","0","0"
"중국","남(M)","2132","17801","2872","651","13","387","6781"
"중국","여(F)","1710","18663","4651","613","15","1505","5882"
"중앙아프리카공화국","남(M)","0","0","0","0","0","0","0"
"중앙아프리카공화국","여(F)","0","0","0","0","0","0","0"
"지부티","남(M)","0","0","0","0","0","0","0"
"지부티","여(F)","0","0","0","0","0","0","0"
"지브롤터","남(M)","0","0","0","0","0","0","0"
"지브롤터","여(F)","0","0","0","0","0","0","0"
"짐바브웨","남(M)","2","2","2","1","0","0","1"
"짐바브웨","여(F)","1","0","6","0","0","0","0"
"차드","남(M)","0","0","0","0","0","0","2"
"차드","여(F)","0","0","0","0","0","0","0"
"체코","남(M)","2","0","2","0","0","8","1"
"체코","여(F)","1","5","3","0","0","5","2"
"칠레","남(M)","0","4","5","2","0","1","9"
"칠레","여(F)","0","2","5","0","0","1","2"
"카메룬","남(M)","1","4","60","11","1","0","10"
"카메룬","여(F)","1","3","19","1","1","0","6"
"카자흐스탄","남(M)","4","42","27","0","0","3","13"
"카자흐스탄","여(F)","18","45","47","1","0","18","14"
"카타르","남(M)","0","6","0","0","0","0","0"
"카타르","여(F)","0","1","0","0","0","0","0"
"캄보디아","남(M)","8","47","61","11","0","5","46"
"캄보디아","여(F)","5","36","23","0","0","3","16"
"캐나다","남(M)","3","14","20","3","1","23","12"
"캐나다","여(F)","2","5","4","2","0","19","2"
"케냐","남(M)","1","21","24","9","0","0","10"
"케냐","여(F)","1","6","8","0","0","0","4"
"코소보","남(M)","0","0","0","0","0","0","0"
"코소보","여(F)","0","0","0","0","0","0","0"
"코스타리카","남(M)","0","1","2","0","0","0","1"
"코스타리카","여(F)","0","2","2","0","0","0","1"
"코트디부아르","남(M)","0","2","0","2","0","0","3"
"코트디부아르","여(F)","0","0","0","0","0","0","0"
"콜롬비아","남(M)","0","2","11","4","0","0","3"
"콜롬비아","여(F)","0","6","4","0","0","5","4"
"콩고","남(M)","0","0","2","1","0","0","1"
"콩고","여(F)","0","2","0","0","0","0","0"
"콩고민주공화국","남(M)","0","3","6","1","1","3","12"
"콩고민주공화국","여(F)","0","4","0","0","0","1","3"
"쿠바","남(M)","0","0","0","0","0","0","0"
"쿠바","여(F)","0","0","0","0","0","0","0"
"쿠웨이트","남(M)","0","0","2","0","0","0","0"
"쿠웨이트","여(F)","0","0","0","0","0","0","0"
"크로아티아","남(M)","1","0","0","0","0","0","0"
"크로아티아","여(F)","0","0","1","0","0","1","2"
"키르기스스탄","남(M)","4","16","10","0","0","2","39"
"키르기스스탄","여(F)","6","9","14","1","0","3","36"
"키프로스","남(M)","0","0","0","0","0","0","0"
"키프로스","여(F)","0","0","0","0","0","0","0"
"타이","남(M)","2","30","34","16","0","6","21"
"타이","여(F)","11","57","91","39","3","25","57"
"타이완","남(M)","3","19","16","5","1","10","23"
"타이완","여(F)","25","90","51","12","2","75","180"
"타지키스탄","남(M)","0","11","6","0","0","0","15"
"타지키스탄","여(F)","0","1","1","1","0","0","6"
"탄자니아","남(M)","0","8","28","6","0","1","10"
"탄자니아","여(F)","0","5","12","1","0","0","3"
"터키","남(M)","2","31","13","6","0","3","17"
"터키","여(F)","2","25","14","3","0","2","8"
"토고","남(M)","0","5","2","0","0","0","1"
"토고","여(F)","0","0","0","0","0","0","0"
"통가","남(M)","0","0","0","0","0","0","0"
"통가","여(F)","0","0","0","0","0","0","0"
"투르크메니스탄","남(M)","0","4","0","0","0","0","7"
"투르크메니스탄","여(F)","0","0","1","0","0","0","0"
"투발루","남(M)","0","0","0","0","0","0","0"
"투발루","여(F)","0","0","0","0","0","0","0"
"튀니지","남(M)","0","2","4","2","0","2","4"
"튀니지","여(F)","1","1","3","2","0","2","0"
"트리니다드토바고","남(M)","0","0","0","0","0","0","0"
"트리니다드토바고","여(F)","0","0","0","0","0","0","0"
"티모르민주공화국","남(M)","0","7","5","1","0","0","2"
"티모르민주공화국","여(F)","0","3","0","0","0","0","2"
"파나마","남(M)","0","3","5","0","0","0","1"
"파나마","여(F)","0","1","2","0","0","0","2"
"파라과이","남(M)","0","10","1","0","0","0","3"
"파라과이","여(F)","0","10","3","1","0","0","0"
"파키스탄","남(M)","3","27","144","142","1","1","30"
"파키스탄","여(F)","0","3","20","14","0","0","1"
