성별,연령대,국적명,체류자격,학교명
여,1990년대생,중국,학사유학,한양대학교
남,1990년대생,중국,학사유학,청주대학교
남,1990년대생,중국,교환학생,청운대학교
남,1990년대생,중국,학사유학,세한대학교
여,1990년대생,중국,학사유학,서강대학교
여,1990년대생,베트남,석사유학,충남대학교
여,1990년대생,몽골,학사유학,우석대학교
여,1990년대생,몽골,학사유학,서울시립대학교
남,1990년대생,중국,학사유학,부산대학교
남,1990년대생,몽골,학사유학,전북대학교
여,1990년대생,중국,학사유학,경성대학교
여,1990년대생,중국,학사유학,국립부경대학교
여,1990년대생,중국,학사유학,인하대학교
여,1990년대생,중국,학사유학,대구가톨릭대학교
여,1990년대생,중국,교환학생,대진대학교
여,1990년대생,핀란드,교환학생,서울대학교
여,1990년대생,중국,석사유학,중앙대학교
여,1990년대생,중국,대학부설어학원연수,가천대학교
여,1990년대생,중국,학사유학,건국대학교
여,1990년대생,중국,학사유학,동명대학교
여,1990년대생,중국,석사유학,(학)연세대학교
여,1990년대생,말레이시아,학사유학,대전대학교
남,1990년대생,중국,학사유학,상명대학교
남,1990년대생,몽골,학사유학,고려대학교
남,1990년대생,중국,학사유학,건국대학교
남,1990년대생,중국,석사유학,부산대학교
남,1990년대생,중국,석사유학,계명대학교
남,1990년대생,중국,학사유학,국립대학법인 인천대학교
남,1990년대생,중국,학사유학,중부대학교
남,1990년대생,베트남,대학부설어학원연수,위덕대학교
여,1990년대생,중국,학사유학,충북대학교
여,1990년대생,중국,학사유학,목포대학교
여,1990년대생,중국,대학부설어학원연수,경희대학교국제캠퍼스
여,1990년대생,라오스,석사유학,국제법률경영대학원대학교
남,1990년대생,중국,전문학사,영진전문대학
남,1990년대생,베트남,학사유학,공주대학교
남,1990년대생,베트남,석사유학,우송대학교
남,1990년대생,베트남,대학부설어학원연수,조선대학교
여,1990년대생,중국,학사유학,공주대학교
남,1990년대생,중국,대학부설어학원연수,동국대학교
남,1990년대생,타이완,교환학생,서울대학교
남,1990년대생,몽골,대학부설어학원연수,(학)연세대학교
여,1990년대생,중국,대학부설어학원연수,(학)연세대학교
남,1990년대생,중국,학사유학,동서대학교
남,1990년대생,중국,대학부설어학원연수,세명대학교
남,1990년대생,중국,대학부설어학원연수,목포대학교
남,1990년대생,중국,대학부설어학원연수,남부대학교
남,1990년대생,중국,학사유학,원광대학교
남,1990년대생,중국,학사유학,원광대학교
남,1990년대생,중국,학사유학,대구대학교
남,1990년대생,우즈베키스탄,학사유학,우송대학교
남,1990년대생,중국,전문학사,영진전문대학
남,1990년대생,중국,대학부설어학원연수,한남대학교
남,1990년대생,몽골,대학부설어학원연수,대한신학대학원대학교
남,1990년대생,중국,대학부설어학원연수,호남대학교
남,1990년대생,중국,학사유학,우석대학교
남,1990년대생,베트남,석사유학,아주대학교
남,1990년대생,미국,학사유학,성균관대학교
남,1990년대생,싱가포르,교환학생,성균관대학교
남,1990년대생,인도네시아,석사유학,서울과학기술대학교
남,1990년대생,중국,대학부설어학원연수,성신여자대학교
남,1990년대생,중국,학사유학,고려대학교
남,1990년대생,중국,학사유학,청운대학교
남,1990년대생,중국,학사유학,백석대학교
남,1990년대생,중국,대학부설어학원연수,선문대학교
남,1990년대생,말레이시아,대학부설어학원연수,(학)연세대학교
여,1990년대생,베트남,학사유학,건국대학교
여,1990년대생,중국,학사유학,성균관대학교
여,1990년대생,멕시코,교환학생,한양대학교
여,1990년대생,독일,교환학생,한양대학교
여,1990년대생,중국,학사유학,가천대학교
여,1990년대생,한국계중국인,학사유학,가천대학교
여,1990년대생,중국,학사유학,부산대학교
남,1980년대생,중국,석사유학,강원대학교
남,1980년대생,베트남,석사유학,울산대학교
여,1980년대생,네팔,대학부설어학원연수,중앙신학대학원대학교
여,1980년대생,파키스탄,박사유학,순천향대학교(학)
여,1980년대생,일본,대학부설어학원연수,이화여자대학교
남,1980년대생,코스타리카,석사유학,서울대학교
여,1980년대생,중국,학사유학,숙명여자대학교
여,1980년대생,싱가포르,석사유학,고려대학교
남,1980년대생,타이,석사유학,(학)연세대학교
남,1980년대생,중국,석사유학,전북대학교
남,1980년대생,중국,대학부설어학원연수,숭실대학교
여,1980년대생,중국,학사유학,계명대학교
여,1980년대생,중국,석사유학,전북대학교
여,1980년대생,중국,대학부설어학원연수,조선대학교
여,1980년대생,베트남,대학부설어학원연수,조선대학교
여,1980년대생,중국,석사유학,동국대학교
여,1980년대생,중국,석사유학,성균관대학교
여,1980년대생,중국,박사유학,인제대학교
남,1980년대생,베트남,석사유학,울산대학교
남,1980년대생,몽골,학사유학,목포대학교
남,1980년대생,인도,박사유학,명지대학교
남,1980년대생,스웨덴,교환학생,한국외국어대학교
남,1980년대생,중국,석사유학,광운대학교
남,1980년대생,중국,학사유학,고려대학교
여,1980년대생,베트남,학사유학,위덕대학교
여,1980년대생,미국,석사유학,한국예술종합학교
여,1980년대생,중국,박사유학,경희대학교
여,1980년대생,일본,대학부설어학원연수,숭실대학교
여,1980년대생,중국,대학부설어학원연수,동국대학교
여,1980년대생,몽골,석사유학,국민대학교
여,1980년대생,중국,석사유학,전남대학교
여,1980년대생,중국,석사유학,상명대학교대학원
여,1980년대생,중국,석사유학,제주대학교
남,1980년대생,중국,대학부설어학원연수,원광대학교 평생교육원
여,1980년대생,중국,석사유학,충북대학교
여,1980년대생,중국,석사유학,전남대학교
여,1980년대생,중국,석사유학,건국대학교
여,1980년대생,중국,학사유학,청주대학교
남,1980년대생,중국,석사유학,상명대학교
남,1980년대생,중국,석사유학,우석대학교
여,1980년대생,스위스,석사유학,(학)연세대학교
남,1980년대생,싱가포르,교환학생,서울대학교
여,1980년대생,중국,학사유학,한국외국어대학교
여,1980년대생,페루,대학부설어학원연수,선문대학교
남,1980년대생,베트남,대학부설어학원연수,중앙대학교
남,1980년대생,중국,석사유학,한국해양대학교
남,1980년대생,에티오피아,석사유학,충북대학교
남,1980년대생,중국,학사유학,영산대학교
남,1980년대생,베트남,대학부설어학원연수,경인여자대학교
남,1980년대생,중국,학사유학,영산대학교
남,1980년대생,베트남,박사유학,부산대학교
남,1980년대생,중국,학사유학,충북대학교
남,1980년대생,한국계중국인,석사유학,성균관대학교
남,1980년대생,베트남,석사유학,홍익대학교 세종캠퍼스
남,1980년대생,중국,학사유학,청운대학교 인천캠퍼스
남,1980년대생,중국,대학부설어학원연수,대한신학대학원대학교
남,1980년대생,카자흐스탄,석사유학,서울대학교
남,1980년대생,중국,석사유학,상명대학교
남,1980년대생,중국,석사유학,단국대학교
남,1980년대생,중국,대학부설어학원연수,한세대학교
남,1980년대생,베트남,박사유학,서울과학기술대학교
남,1980년대생,중국,학사유학,동국대학교
남,1980년대생,중국,학사유학,전남대학교
남,1980년대생,우즈베키스탄,석사유학,한림국제대학원대학교
남,1980년대생,베트남,석사유학,한림대학교
남,1980년대생,파키스탄,박사유학,경북대학교
남,1980년대생,중국,박사유학,경희대학교
남,1980년대생,중국,학사유학,한남대학교
여,1980년대생,중국,대학부설어학원연수,한세대학교
남,1980년대생,중국,학사유학,순천향대학교(학)
여,1980년대생,인도,석사유학,부산대학교
여,1980년대생,슬로베니아,대학부설어학원연수,계명대학교
남,1980년대생,중국,석사유학,세종대학교
남,1980년대생,베트남,대학부설어학원연수,동원대학
남,1980년대생,불가리아,대학부설어학원연수,전남대학교언어교육원
남,1980년대생,중국,석사유학,건국대학교
여,1980년대생,중국,석사유학,군산대학교
여,1980년대생,중국,석사유학,부산대학교
여,1980년대생,몽골,대학부설어학원연수,한서대학교
남,1980년대생,한국계중국인,대학부설어학원연수,총신대학교
남,1980년대생,중국,대학부설어학원연수,상명대학교
남,1980년대생,중국,학사유학,서경대학교
남,1980년대생,중국,학사유학,고려대학교
남,1980년대생,중국,석사유학,서울대학교
여,1980년대생,중국,학사유학,성균관대학교
여,1980년대생,중국,석사유학,남서울대학교
남,1980년대생,중국,석사유학,전북대학교
남,1980년대생,중국,학사유학,한양대학교
남,1980년대생,중국,석사유학,전주대학교
남,1980년대생,중국,학사유학,한양대학교
남,1980년대생,중국,학사유학,중앙대학교
여,1980년대생,베트남,석사유학,경성대학교
여,1980년대생,중국,석사유학,대구가톨릭대학교
남,1980년대생,중국,대학부설어학원연수,성균관대학교
남,1980년대생,카메룬,학사유학,경기대학교
남,1980년대생,중국,학사유학,금오공과대학교
여,1980년대생,베트남,대학부설어학원연수,조선대학교
여,1980년대생,중국,석사유학,단국대학교
여,1980년대생,중국,석사유학,동국대학교
남,1980년대생,중국,석사유학,한양대학교
여,1980년대생,중국,석사유학,중앙대학교
여,1980년대생,중국,석사유학,서울대학교
남,1980년대생,카메룬,학사유학,경기대학교
남,1980년대생,중국,학사유학,경희대학교
남,1980년대생,중국,석사유학,영남대학교
남,1980년대생,중국,학사유학,충남대학교
남,1980년대생,중국,석사유학,세종대학교
남,1980년대생,방글라데시,전문학사,전주기전대학
여,1990년대생,몽골,전문학사,연성대학교
여,1990년대생,중국,학사유학,한국성서대학교
여,1990년대생,중국,대학부설어학원연수,한국외국어대학교
여,1990년대생,중국,학사유학,국민대학교
여,1990년대생,중국,학사유학,서울여자대학교
남,1990년대생,중국,대학부설어학원연수,삼육대학교
남,1990년대생,중국,학사유학,연세대학교
여,1990년대생,중국,석사유학,성균관대학교
여,1990년대생,한국계중국인,학사유학,수원대학교
여,1990년대생,중국,대학부설어학원연수,서강대학교
남,1990년대생,중국,학사유학,가천대학교
남,1990년대생,중국,학사유학,단국대학교
남,1990년대생,베트남,대학부설어학원연수,안양대학교
여,1990년대생,베트남,대학부설어학원연수,한양대학교
여,1990년대생,중국,대학부설어학원연수,이화여자대학교
여,1990년대생,일본,대학부설어학원연수,홍익대학교 국제언어교육원
남,1990년대생,중국,학사유학,국민대학교
여,1990년대생,중국,학사유학,경희대학교
여,1990년대생,인도네시아,석사유학,영산대학교
여,1990년대생,중국,대학부설어학원연수,경성대학교
여,1990년대생,중국,학사유학,부산대학교
남,1990년대생,중국,학사유학,군산대학교
남,1990년대생,중국,학사유학,중앙대학교
남,1990년대생,베트남,대학부설어학원연수,강남대학교
남,1990년대생,필리핀,대학부설어학원연수,동명대학교
남,1990년대생,중국,학사유학,동명대학교
남,1990년대생,중국,학사유학,부산대학교
남,1990년대생,중국,학사유학,신라대학교
남,1990년대생,중국,학사유학,단국대학교
여,1990년대생,중국,석사유학,서울대학교
여,1990년대생,가나,학사유학,전남대학교
여,1990년대생,중국,학사유학,영남대학교
여,1990년대생,중국,대학부설어학원연수,충남대학교
여,1990년대생,중국,석사유학,성균관대학교
여,1990년대생,캐나다,대학부설어학원연수,전남대학교
여,1990년대생,중국,석사유학,전남대학교
남,1990년대생,중국,학사유학,협성대학교
여,1990년대생,미얀마,대학부설어학원연수,덕성여자대학교
남,1990년대생,베트남,대학부설어학원연수,성산효대학원대학교
남,1990년대생,베트남,대학부설어학원연수,경인여자대학교
남,1990년대생,방글라데시,대학부설어학원연수,인하대학교
남,1990년대생,베트남,대학부설어학원연수,성산효대학원대학교
남,1990년대생,중국,학사유학,안동대학교
남,1990년대생,중국,학사유학,경북대학교
남,1990년대생,중국,학사유학,배재대학교
여,1990년대생,중국,석사유학,동국대학교
여,1990년대생,중국,학사유학,세명대학교
여,1990년대생,중국,석사유학,신라대학교
여,1990년대생,중국,석사유학,부산대학교
여,1990년대생,중국,석사유학,건국대학교
남,1990년대생,중국,학사유학,경기대학교
남,1990년대생,베트남,대학부설어학원연수,영진전문대학
여,1990년대생,중국,대학부설어학원연수,강릉원주대학교
여,1990년대생,중국,석사유학,경희대학교국제캠퍼스
여,1990년대생,중국,석사유학,경희대학교국제캠퍼스
여,1990년대생,중국,석사유학,한양대학교 대학원
여,1990년대생,중국,학사유학,강릉원주대학교
여,1990년대생,베트남,대학부설어학원연수,아주대학교
남,1990년대생,중국,대학부설어학원연수,충남대학교
남,1990년대생,중국,학사유학,전주대학교
여,1990년대생,일본,대학부설어학원연수,중앙대학교
여,1990년대생,타이완,석사유학,한양대학교
여,1990년대생,일본,교환학생,건국대학교
여,1990년대생,중국,대학부설어학원연수,경기대학교
여,1990년대생,베트남,석사유학,(주)이씨이십일
여,1990년대생,중국,학사유학,영남대학교
여,1990년대생,중국,학사유학,경북대학교
여,1990년대생,중국,석사유학,호서대학교
남,1990년대생,중국,학사유학,성균관대학교
남,1990년대생,중국,학사유학,신라대학교
여,1990년대생,중국,석사유학,경희대학교국제캠퍼스
여,1990년대생,중국,대학부설어학원연수,단국대학교
여,1990년대생,중국,대학부설어학원연수,남서울대학교
여,1990년대생,핀란드,교환학생,이화여자대학교
남,1990년대생,중국,학사유학,경희대학교
여,1990년대생,중국,학사유학,청주대학교
여,1990년대생,베트남,대학부설어학원연수,성산효대학원대학교
남,1990년대생,미국,석사유학,고려대학교
남,1990년대생,중국,학사유학,국립부경대학교
남,1990년대생,방글라데시,석사유학,울산대학교
남,1990년대생,중국,학사유학,청주대학교
남,1990년대생,중국,학사유학,대구가톨릭대학교
남,1990년대생,폴란드,교환학생,경북대학교
남,1990년대생,중국,대학부설어학원연수,계명대학교
여,1990년대생,중국,대학부설어학원연수,중부대학교
여,1990년대생,중국,학사유학,동신대학교
남,1990년대생,중국,학사유학,(학)명지학원관동대학교
남,1990년대생,가나,학사유학,울산과학기술대학교
남,1990년대생,베트남,석사유학,울산대학교
남,1990년대생,파키스탄,석사유학,울산대학교
남,1990년대생,중국,학사유학,평택대학교
남,1990년대생,중국,학사유학,청주대학교
남,1990년대생,중국,대학부설어학원연수,한국외국어대학교
남,1990년대생,프랑스,교환학생,성균관대학교
남,1990년대생,중국,대학부설어학원연수,두원공과대학
남,1990년대생,베트남,대학부설어학원연수,
남,1990년대생,중국,학사유학,한양대학교
남,1990년대생,중국,학사유학,아주대학교
남,1990년대생,중국,학사유학,국민대학교
남,1990년대생,중국,대학부설어학원연수,고려대학교
남,1990년대생,중국,학사유학,국민대학교
남,1990년대생,중국,학사유학,상명대학교
여,1990년대생,중국,학사유학,한양대학교
남,1990년대생,캄보디아,석사유학,아주대학교
남,1990년대생,중국,학사유학,국민대학교
남,1990년대생,중국,학사유학,호서대학교
여,1990년대생,타이,석사유학,숭실대학교
여,1980년대생,중국,학사유학,건국대학교
여,1980년대생,중국,학사유학,이화여자대학교
