"국적","성별","유학(D-2)","전문학사(D-2-1)","학사유학(D-2-2)","석사유학(D-2-3)","박사유학(D-2-4)","연구유학(D-2-5)","교환학생(D-2-6)","교환학생(D-2-F)","일반연수(D-4)","대학부설어학원연수(D","외국어연수(D-4-7)","기타"
"이 스 라 엘","(M)","5","0","0","3","0","0","2","0","1","1","0","131"
"이 스 라 엘","(F)","10","0","2","4","0","0","4","0","7","7","0","89"
"브 루 나 이","(M)","10","0","2","0","0","0","8","0","0","0","0","71"
"브 루 나 이","(F)","57","0","2","4","2","0","49","0","3","3","0","68"
"쿠 웨 이 트","(M)","2","0","0","0","2","0","0","0","1","1","0","39"
"쿠 웨 이 트","(F)","0","0","0","0","0","0","0","0","1","1","0","31"
"오      만","(M)","0","0","0","0","0","0","0","0","1","1","0","37"
"오      만","(F)","0","0","0","0","0","0","0","0","3","3","0","20"
"투르크메니스탄","(M)","14","0","12","1","1","0","0","0","4","4","0","14"
"투르크메니스탄","(F)","4","1","3","0","0","0","0","0","2","2","0","15"
"레  바  논","(M)","4","0","1","2","0","0","1","0","0","0","0","25"
"레  바  논","(F)","2","0","1","1","0","0","0","0","0","0","0","15"
"팔레스타인","(M)","7","0","0","6","0","0","1","0","2","2","0","26"
"팔레스타인","(F)","1","0","0","0","0","0","1","0","0","0","0","7"
"키 프 로 스","(M)","0","0","0","0","0","0","0","0","0","0","0","20"
"키 프 로 스","(F)","1","0","1","0","0","0","0","0","0","0","0","6"
"홍콩거주난민","(M)","0","0","0","0","0","0","0","0","0","0","0","11"
"홍콩거주난민","(F)","0","0","0","0","0","0","0","0","0","0","0","10"
"카  타  르","(M)","0","0","0","0","0","0","0","0","0","0","0","10"
"카  타  르","(F)","0","0","0","0","0","0","0","0","0","0","0","7"
"바  레  인","(M)","2","0","1","0","1","0","0","0","0","0","0","1"
"바  레  인","(F)","0","0","0","0","0","0","0","0","0","0","0","5"
"부      탄","(M)","2","0","1","1","0","0","0","0","0","0","0","2"
"부      탄","(F)","2","0","0","2","0","0","0","0","2","2","0","0"
"몰  디  브","(M)","1","0","0","1","0","0","0","0","0","0","0","2"
"몰  디  브","(F)","1","0","0","1","0","0","0","0","0","0","0","0"
"미      국","(M)","470","7","84","167","28","2","175","7","83","83","0","80511"
"미      국","(F)","458","1","60","72","2","0","315","8","70","70","0","55071"
"캐  나  다","(M)","62","0","8","23","2","0","29","0","15","15","0","12190"
"캐  나  다","(F)","43","0","5","7","0","0","31","0","11","11","0","12032"
"브  라  질","(M)","105","0","17","10","1","0","77","0","21","21","0","731"
"브  라  질","(F)","71","0","8","7","0","0","56","0","25","25","0","530"
"멕  시  코","(M)","54","0","4","16","3","0","31","0","10","10","0","342"
"멕  시  코","(F)","62","0","13","15","0","0","34","0","14","14","0","277"
"페      루","(M)","19","0","8","5","1","0","5","0","2","2","0","265"
"페      루","(F)","28","0","12","9","0","0","7","0","17","17","0","231"
"아르헨티나","(M)","6","0","3","2","1","0","0","0","2","2","0","243"
"아르헨티나","(F)","3","0","2","0","1","0","0","0","5","5","0","194"
"콜 롬 비 아","(M)","31","0","14","7","1","1","8","0","11","11","0","119"
"콜 롬 비 아","(F)","21","0","5","11","0","0","5","0","13","13","0","128"
"에 콰 도 르","(M)","18","0","5","11","0","0","2","0","6","6","0","84"
"에 콰 도 르","(F)","24","0","9","13","0","0","2","0","11","11","0","53"
"파 라 과 이","(M)","8","0","8","0","0","0","0","0","3","3","0","69"
"파 라 과 이","(F)","10","0","7","3","0","0","0","0","5","5","0","87"
"칠      레","(M)","9","0","2","3","0","1","3","0","0","0","0","75"
"칠      레","(F)","11","0","1","4","1","1","4","0","11","11","0","70"
"과 테 말 라","(M)","34","0","9","18","7","0","0","0","0","0","0","49"
"과 테 말 라","(F)","20","0","4","14","2","0","0","0","5","5","0","52"
"베네수엘라","(M)","4","0","3","0","0","0","1","0","3","3","0","64"
"베네수엘라","(F)","4","0","3","1","0","0","0","0","5","5","0","49"
"볼 리 비 아","(M)","6","2","3","1","0","0","0","0","1","1","0","37"
"볼 리 비 아","(F)","8","0","7","0","0","0","1","0","6","6","0","33"
"니 카 라 과","(M)","1","0","0","1","0","0","0","0","0","0","0","41"
"니 카 라 과","(F)","1","0","0","1","0","0","0","0","2","2","0","28"
"도미니카공화국","(M)","5","0","1","4","0","0","0","0","1","1","0","21"
"도미니카공화국","(F)","9","0","5","3","0","0","1","0","6","6","0","26"
"코스타리카","(M)","4","0","0","4","0","0","0","0","3","3","0","26"
"코스타리카","(F)","4","0","3","1","0","0","0","0","2","2","0","19"
"온 두 라 스","(M)","4","0","0","4","0","0","0","0","2","2","0","21"
"온 두 라 스","(F)","4","0","0","4","0","0","0","0","1","1","0","24"
"엘살바도르","(M)","8","0","3","4","1","0","0","0","1","1","0","11"
"엘살바도르","(F)","12","0","4","8","0","0","0","0","4","4","0","12"
"파  나  마","(M)","7","0","3","3","1","0","0","0","2","2","0","10"
"파  나  마","(F)","6","0","3","3","0","0","0","0","6","6","0","12"
"자 메 이 카","(M)","3","0","0","3","0","0","0","0","1","1","0","18"
"자 메 이 카","(F)","6","0","1","4","1","0","0","0","1","1","0","12"
"우 루 과 이","(M)","2","0","0","1","0","1","0","0","1","1","0","13"
"우 루 과 이","(F)","2","0","0","2","0","0","0","0","1","1","0","14"
"트리니다드토바고","(M)","0","0","0","0","0","0","0","0","2","2","0","8"
"트리니다드토바고","(F)","1","0","0","0","1","0","0","0","1","1","0","10"
"쿠      바","(M)","0","0","0","0","0","0","0","0","0","0","0","10"
"쿠      바","(F)","1","0","1","0","0","0","0","0","0","0","0","10"
"벨  리  즈","(M)","3","0","0","0","3","0","0","0","0","0","0","3"
"벨  리  즈","(F)","3","0","1","2","0","0","0","0","2","2","0","3"
"수  리  남","(M)","1","0","0","1","0","0","0","0","0","0","0","4"
"수  리  남","(F)","0","0","0","0","0","0","0","0","0","0","0","6"
"아  이  티","(M)","2","0","1","1","0","0","0","0","0","0","0","3"
"아  이  티","(F)","0","0","0","0","0","0","0","0","0","0","0","5"
"바베이도스","(M)","0","0","0","0","0","0","0","0","0","0","0","3"
"바베이도스","(F)","0","0","0","0","0","0","0","0","1","1","0","2"
"세인트크리스토퍼 네비스","(M)","0","0","0","0","0","0","0","0","0","0","0","3"
"세인트크리스토퍼 네비스","(F)","0","0","0","0","0","0","0","0","0","0","0","2"
"바  하  마","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"바  하  마","(F)","0","0","0","0","0","0","0","0","1","1","0","1"
"세인트루시아","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"세인트루시아","(F)","0","0","0","0","0","0","0","0","0","0","0","2"
"도미니카연방","(M)","0","0","0","0","0","0","0","0","0","0","0","2"
"도미니카연방","(F)","0","0","0","0","0","0","0","0","0","0","0","0"
"가 이 아 나","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"가 이 아 나","(F)","0","0","0","0","0","0","0","0","1","1","0","0"
"불령 가이아나","(M)","0","0","0","0","0","0","0","0","0","0","0","0"
"불령 가이아나","(F)","0","0","0","0","0","0","0","0","0","0","0","1"
"러시아(연방)","(M)","104","4","34","28","5","1","32","0","46","46","0","3476"
"러시아(연방)","(F)","314","19","99","81","9","0","106","0","261","261","0","4772"
"한국계 러시아인","(M)","1","0","1","0","0","0","0","0","0","0","0","2353"
"한국계 러시아인","(F)","4","0","3","1","0","0","0","0","0","0","0","3094"
"영      국","(M)","65","0","8","19","2","0","36","0","14","14","0","5148"
"영      국","(F)","65","0","13","7","1","0","44","0","11","11","0","2095"
"프  랑  스","(M)","324","0","14","25","11","1","273","0","32","32","0","2696"
"프  랑  스","(F)","285","0","13","21","3","1","247","0","62","62","0","1508"
"독      일","(M)","277","0","6","28","12","3","226","2","11","11","0","2006"
"독      일","(F)","243","0","10","13","2","1","217","0","26","26","0","1478"
"노 르 웨 이","(M)","18","0","1","7","0","0","10","0","8","8","0","1530"
"노 르 웨 이","(F)","12","0","4","2","0","0","6","0","7","7","0","364"
"우크라이나","(M)","29","0","11","9","2","0","7","0","9","9","0","592"
"우크라이나","(F)","46","1","12","13","1","0","19","0","20","19","1","591"
"이 탈 리 아","(M)","30","0","4","5","3","0","15","3","10","10","0","766"
"이 탈 리 아","(F)","39","0","6","5","0","1","25","2","26","26","0","273"
"네 덜 란 드","(M)","77","0","2","4","2","0","69","0","10","10","0","549"
"네 덜 란 드","(F)","40","0","2","2","0","0","36","0","3","3","0","250"
"스  웨  덴","(M)","78","0","3","5","0","1","69","0","16","16","0","455"
"스  웨  덴","(F)","23","0","1","0","0","0","22","0","38","38","0","271"
"스  페  인","(M)","65","0","6","4","1","0","54","0","20","20","0","439"
"스  페  인","(F)","53","0","3","6","2","0","42","0","14","14","0","279"
"아 일 랜 드","(M)","10","0","1","5","0","0","4","0","2","2","0","583"
"아 일 랜 드","(F)","2","0","0","1","0","0","1","0","0","0","0","232"
"폴  란  드","(M)","31","0","5","5","10","0","11","0","5","5","0","323"
"폴  란  드","(F)","50","2","7","11","2","0","28","0","15","15","0","169"
"스  위  스","(M)","27","0","3","8","0","1","15","0","1","1","0","271"
"스  위  스","(F)","23","0","2","6","1","0","14","0","6","6","0","181"
"덴  마  크","(M)","30","0","1","5","0","0","24","0","1","1","0","300"
"덴  마  크","(F)","21","0","3","0","0","0","18","0","0","0","0","127"
"핀  란  드","(M)","41","0","1","5","0","0","35","0","1","1","0","187"
"핀  란  드","(F)","47","0","7","5","0","0","35","0","10","10","0","153"
"루 마 니 아","(M)","14","0","3","8","1","0","2","0","0","0","0","188"
"루 마 니 아","(F)","24","1","5","11","3","0","4","0","12","12","0","134"
"벨  기  에","(M)","17","0","0","4","0","0","13","0","7","7","0","216"
"벨  기  에","(F)","13","0","0","4","1","0","8","0","3","3","0","111"
"그  리  스","(M)","1","0","0","0","0","0","1","0","1","1","0","244"
"그  리  스","(F)","5","0","0","4","0","0","1","0","3","3","0","95"
"오스트리아","(M)","27","0","2","1","4","0","20","0","1","1","0","164"
"오스트리아","(F)","12","0","2","1","0","0","9","0","3","3","0","87"
"포 르 투 갈","(M)","8","0","1","0","0","2","5","0","3","3","0","120"
"포 르 투 갈","(F)","11","0","5","0","0","0","6","0","5","5","0","113"
"체      코","(M)","34","1","0","1","1","0","31","0","2","2","0","89"
"체      코","(F)","26","0","4","6","1","0","15","0","1","1","0","58"
"헝  가  리","(M)","16","1","10","3","0","0","2","0","4","4","0","70"
"헝  가  리","(F)","18","0","3","7","2","0","6","0","11","11","0","61"
"크로아티아","(M)","2","0","1","0","1","0","0","0","1","1","0","137"
"크로아티아","(F)","1","0","1","0","0","0","0","0","2","2","0","34"
"벨 로 루 시","(M)","11","0","0","6","1","0","4","0","1","1","0","72"
"벨 로 루 시","(F)","8","0","1","2","1","0","4","0","7","7","0","77"
"불 가 리 아","(M)","12","0","5","3","1","0","3","0","4","4","0","63"
"불 가 리 아","(F)","25","0","8","12","1","2","2","0","10","10","0","54"
"아제르바이잔","(M)","31","0","12","14","2","0","3","0","7","7","0","33"
"아제르바이잔","(F)","21","0","4","13","2","0","2","0","4","4","0","42"
"슬 로 바 크","(M)","13","7","1","3","1","0","1","0","3","3","0","32"
"슬 로 바 크","(F)","7","1","0","3","1","0","2","0","4","4","0","30"
"몰  도  바","(M)","3","0","1","2","0","0","0","0","1","1","0","33"
"몰  도  바","(F)","14","0","0","3","1","0","10","0","3","3","0","32"
"리투아니아","(M)","13","0","3","1","0","0","9","0","2","2","0","23"
"리투아니아","(F)","21","0","2","3","2","0","14","0","1","1","0","21"
"아르메니아","(M)","2","0","1","1","0","0","0","0","1","1","0","33"
"아르메니아","(F)","3","0","0","1","1","0","1","0","2","2","0","36"
"세르비아","(M)","0","0","0","0","0","0","0","0","2","2","0","45"
"세르비아","(F)","4","0","1","1","2","0","0","0","2","2","0","19"
"라 트 비 아","(M)","3","0","0","0","0","0","3","0","1","1","0","25"
"라 트 비 아","(F)","4","0","1","0","0","0","3","0","2","2","0","13"
"슬로베니아","(M)","5","0","0","1","0","0","4","0","0","0","0","19"
