"국적","성별","유학(D-2)","전문학사(D-2-1)","학사유학(D-2-2)","석사유학(D-2-3)","박사유학(D-2-4)","연구유학(D-2-5)","교환학생(D-2-6)","교환학생(D-2-F)","일반연수(D-4)","대학부설어학원연수(D","외국어연수(D-4-7)","기타"
"베      냉","(F)","0","0","0","0","0","0","0","0","0","0","0","2"
"스와질란드","(M)","1","0","0","1","0","0","0","0","0","0","0","8"
"스와질란드","(F)","1","0","1","0","0","0","0","0","1","1","0","6"
"부르키나파소","(M)","2","0","1","1","0","0","0","0","1","1","0","11"
"부르키나파소","(F)","0","0","0","0","0","0","0","0","0","0","0","3"
"마다가스카르","(M)","2","0","1","1","0","0","0","0","1","1","0","1"
"마다가스카르","(F)","4","0","1","3","0","0","0","0","1","1","0","7"
"모 리 타 니","(M)","4","0","2","2","0","0","0","0","2","2","0","4"
"모 리 타 니","(F)","0","0","0","0","0","0","0","0","0","0","0","2"
"중앙 아프리카 공화국","(M)","4","0","4","0","0","0","0","0","0","0","0","2"
"중앙 아프리카 공화국","(F)","1","0","1","0","0","0","0","0","0","0","0","3"
"레  소  토","(M)","2","0","0","2","0","0","0","0","1","1","0","3"
"레  소  토","(F)","0","0","0","0","0","0","0","0","0","0","0","4"
"차      드","(M)","3","0","1","1","1","0","0","0","3","3","0","2"
"차      드","(F)","0","0","0","0","0","0","0","0","0","0","0","0"
"코  모  로","(M)","1","0","0","0","0","0","1","0","0","0","0","3"
"코  모  로","(F)","0","0","0","0","0","0","0","0","0","0","0","3"
"에리트레아","(M)","0","0","0","0","0","0","0","0","0","0","0","5"
"에리트레아","(F)","0","0","0","0","0","0","0","0","0","0","0","2"
"소 말 리 아","(M)","0","0","0","0","0","0","0","0","1","1","0","5"
"소 말 리 아","(F)","0","0","0","0","0","0","0","0","1","1","0","0"
"자  이  르","(M)","0","0","0","0","0","0","0","0","0","0","0","5"
"자  이  르","(F)","0","0","0","0","0","0","0","0","0","0","0","2"
"적 도 기 니","(M)","0","0","0","0","0","0","0","0","0","0","0","3"
"적 도 기 니","(F)","0","0","0","0","0","0","0","0","0","0","0","3"
"니  제  르","(M)","1","0","0","1","0","0","0","0","0","0","0","3"
"니  제  르","(F)","0","0","0","0","0","0","0","0","0","0","0","2"
"보 츠 와 나","(M)","1","0","0","1","0","0","0","0","1","1","0","2"
"보 츠 와 나","(F)","0","0","0","0","0","0","0","0","1","1","0","0"
"나 미 비 아","(M)","0","0","0","0","0","0","0","0","0","0","0","3"
"나 미 비 아","(F)","0","0","0","0","0","0","0","0","0","0","0","0"
"세 이 셸","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"세 이 셸","(F)","0","0","0","0","0","0","0","0","0","0","0","2"
"남수단공화국","(M)","1","0","0","0","1","0","0","0","0","0","0","1"
"남수단공화국","(F)","0","0","0","0","0","0","0","0","1","1","0","0"
"지  부  티","(M)","0","0","0","0","0","0","0","0","0","0","0","2"
"지  부  티","(F)","0","0","0","0","0","0","0","0","0","0","0","0"
"기니비사우","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"기니비사우","(F)","0","0","0","0","0","0","0","0","0","0","0","1"
"카보베르데","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"카보베르데","(F)","0","0","0","0","0","0","0","0","0","0","0","0"
"상투메 프린시페","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"상투메 프린시페","(F)","0","0","0","0","0","0","0","0","0","0","0","0"
"기타","(M)","1","0","0","0","0","0","1","0","1","1","0","108"
"기타","(F)","0","0","0","0","0","0","0","0","0","0","0","139"
